,Suburb,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
50,Berowra Heights,Café,Coffee Shop,Grocery Store,Gas Station,Burger Joint,Supermarket,Shopping Mall,Thai Restaurant,Pub,Pizza Place
51,Berowra Waters,Seafood Restaurant,Boat or Ferry,Australian Restaurant,Harbor / Marina,Farmers Market,Egyptian Restaurant,Electronics Store,Event Service,Event Space,Fabric Shop
52,Berrilee,Stables,Zoo,Fast Food Restaurant,Eastern European Restaurant,Egyptian Restaurant,Electronics Store,Event Service,Event Space,Fabric Shop,Falafel Restaurant
53,Beverley Park,Golf Course,Zoo,Food Service,Eastern European Restaurant,Egyptian Restaurant,Electronics Store,Event Service,Event Space,Fabric Shop,Falafel Restaurant
54,Beverly Hills,Chinese Restaurant,Café,Japanese Restaurant,Italian Restaurant,German Restaurant,Sandwich Place,Greek Restaurant,Grocery Store,Gym / Fitness Center,Seafood Restaurant
55,Bexley,Park,Fast Food Restaurant,Convenience Store,Fruit & Vegetable Store,Eastern European Restaurant,Egyptian Restaurant,Electronics Store,Event Service,Event Space,Fabric Shop
56,Bexley North,Café,Pool,Japanese Restaurant,Grocery Store,Parking,Thai Restaurant,Pub,Fish Market,Fish & Chips Shop,Dry Cleaner
57,Bidwill,Convenience Store,Bar,High School,Zoo,Fast Food Restaurant,Egyptian Restaurant,Electronics Store,Event Service,Event Space,Fabric Shop
58,Bilgola Beach,Beach,Café,Pool,Coffee Shop,Fast Food Restaurant,Eastern European Restaurant,Egyptian Restaurant,Electronics Store,Event Service,Event Space
59,Bilgola Plateau,Café,Pizza Place,Farmers Market,Dutch Restaurant,Eastern European Restaurant,Egyptian Restaurant,Electronics Store,Event Service,Event Space,Fabric Shop
60,Birchgrove,Café,Pub,Park,Tennis Court,Cricket Ground,Farm,Eastern European Restaurant,Egyptian Restaurant,Electronics Store,Event Service
61,Birrong,Playground,Bowling Green,Grocery Store,Train Station,Zoo,Farmers Market,Eastern European Restaurant,Egyptian Restaurant,Electronics Store,Event Service
62,Blackett,Market,Zoo,Food Service,Eastern European Restaurant,Egyptian Restaurant,Electronics Store,Event Service,Event Space,Fabric Shop,Falafel Restaurant
63,Blacktown,Fast Food Restaurant,Coffee Shop,Supermarket,Juice Bar,Convenience Store,Pizza Place,Sandwich Place,Thai Restaurant,Department Store,Chinese Restaurant
64,Blair Athol,Board Shop,Supermarket,Moving Target,Playground,Paper / Office Supplies Store,Baseball Field,Electronics Store,Event Service,Event Space,Fabric Shop
65,Blairmount,Coffee Shop,Zoo,Fast Food Restaurant,Eastern European Restaurant,Egyptian Restaurant,Electronics Store,Event Service,Event Space,Fabric Shop,Falafel Restaurant
66,Blakehurst,Park,Dim Sum Restaurant,Zoo,Dutch Restaurant,Eastern European Restaurant,Egyptian Restaurant,Electronics Store,Event Service,Event Space,Fabric Shop
67,Bligh Park,Fishing Store,Park,Zoo,Farm,Dutch Restaurant,Eastern European Restaurant,Egyptian Restaurant,Electronics Store,Event Service,Event Space
68,Bondi,Pizza Place,Bakery,Café,Grocery Store,Australian Restaurant,Spa,Asian Restaurant,Motorcycle Shop,Brazilian Restaurant,Gas Station
69,Bondi Beach,Café,Australian Restaurant,Pizza Place,Bakery,Wine Bar,Ice Cream Shop,Restaurant,Italian Restaurant,Middle Eastern Restaurant,Trail
70,Bondi Junction,Café,Gym,Mexican Restaurant,Burger Joint,Noodle House,Sushi Restaurant,Japanese Restaurant,Clothing Store,Vegetarian / Vegan Restaurant,Department Store
71,Bonnet Bay,Food & Drink Shop,Outdoors & Recreation,Baseball Field,Deli / Bodega,Zoo,Fast Food Restaurant,Electronics Store,Event Service,Event Space,Fabric Shop
72,Bonnyrigg,Pizza Place,Neighborhood,Shopping Mall,Supermarket,Fast Food Restaurant,Gym / Fitness Center,Dessert Shop,Food Truck,Park,Event Service
73,Bonnyrigg Heights,Café,Sports Bar,Park,Soccer Field,Garden Center,Zoo,Farm,Eastern European Restaurant,Egyptian Restaurant,Electronics Store
74,Bossley Park,Grocery Store,Pizza Place,Gym,Bar,Health & Beauty Service,Buffet,Italian Restaurant,Park,Filipino Restaurant,Event Space
75,Botany,Café,Thai Restaurant,Pub,Rental Car Location,Fried Chicken Joint,Shipping Store,Falafel Restaurant,Seafood Restaurant,Beach,Bakery
76,Bow Bowing,Home Service,Zoo,Fast Food Restaurant,Eastern European Restaurant,Egyptian Restaurant,Electronics Store,Event Service,Event Space,Fabric Shop,Falafel Restaurant
77,Box Hill,Restaurant,Cricket Ground,Zoo,Eastern European Restaurant,Egyptian Restaurant,Electronics Store,Event Service,Event Space,Fabric Shop,Falafel Restaurant
78,Bradbury,Supermarket,Gym,Bar,Home Service,Shopping Mall,Chinese Restaurant,Zoo,Egyptian Restaurant,Electronics Store,Event Service
79,Breakfast Point,Café,Fast Food Restaurant,Eastern European Restaurant,Egyptian Restaurant,Electronics Store,Event Service,Event Space,Fabric Shop,Falafel Restaurant,Farm
80,Brighton-Le-Sands,Café,Seafood Restaurant,Dessert Shop,Thai Restaurant,Pizza Place,Park,Church,Burger Joint,Greek Restaurant,Fast Food Restaurant
81,Bringelly,Fast Food Restaurant,Convenience Store,Zoo,Eastern European Restaurant,Egyptian Restaurant,Electronics Store,Event Service,Event Space,Fabric Shop,Falafel Restaurant
82,Bronte,Café,Juice Bar,Indian Restaurant,Australian Restaurant,Fried Chicken Joint,Fish & Chips Shop,Park,Convenience Store,Bus Station,Burger Joint
83,Brooklyn,Seafood Restaurant,Platform,Harbor / Marina,Bookstore,Train Station,Boat or Ferry,Park,Café,Pub,Fish & Chips Shop
84,Brookvale,Pet Store,Rugby Pitch,Liquor Store,Bakery,Auto Dealership,Bus Stop,Gym,Supermarket,Fast Food Restaurant,Italian Restaurant
85,Bundeena,Beach,Café,Pub,Pier,Trail,Grocery Store,Coworking Space,Creperie,Eastern European Restaurant,Egyptian Restaurant
86,Bungarribee,Thai Restaurant,Dog Run,Playground,Trail,Farm,Dutch Restaurant,Eastern European Restaurant,Egyptian Restaurant,Electronics Store,Event Service
87,Burraneer,Harbor / Marina,German Restaurant,Zoo,Dumpling Restaurant,Eastern European Restaurant,Egyptian Restaurant,Electronics Store,Event Service,Event Space,Fabric Shop
88,Burwood,Noodle House,Café,Supermarket,Chinese Restaurant,Coffee Shop,Juice Bar,Fast Food Restaurant,Sandwich Place,Department Store,Donut Shop
89,Burwood Heights,Pub,Convenience Store,Burger Joint,Movie Theater,Cosmetics Shop,Costume Shop,Electronics Store,Event Service,Event Space,Fabric Shop
90,Cabarita,Park,Coworking Space,Bus Station,Beach,Zoo,Farmers Market,Egyptian Restaurant,Electronics Store,Event Service,Event Space
91,Cabramatta,Vietnamese Restaurant,Chinese Restaurant,Café,Bubble Tea Shop,Asian Restaurant,Dessert Shop,Noodle House,Seafood Restaurant,Sports Bar,Supermarket
92,Cabramatta West,Thai Restaurant,Gastropub,Eastern European Restaurant,Café,Pet Store,Convenience Store,Flea Market,Farm,Food,Egyptian Restaurant
93,Cambridge Gardens,Sandwich Place,Hotel,Baseball Field,Fast Food Restaurant,Pizza Place,Grocery Store,Fishing Spot,Fish Market,Dumpling Restaurant,Dutch Restaurant
94,Cambridge Park,Park,Bus Stop,Bakery,Dutch Restaurant,Eastern European Restaurant,Egyptian Restaurant,Electronics Store,Event Service,Event Space,Fabric Shop
95,Camden,Café,Supermarket,Park,Bar,Italian Restaurant,Fast Food Restaurant,Eastern European Restaurant,Egyptian Restaurant,Electronics Store,Event Service
96,Camden South,Zoo,Trail,Farm,Pub,African Restaurant,Fast Food Restaurant,Eastern European Restaurant,Egyptian Restaurant,Electronics Store,Event Service
97,Camellia,Bakery,Zoo,Food Truck,Egyptian Restaurant,Electronics Store,Event Service,Event Space,Fabric Shop,Falafel Restaurant,Farm
98,Cammeray,Café,Japanese Restaurant,Thai Restaurant,Golf Course,Bar,Gym,Butcher,Bus Station,Asian Restaurant,Fruit & Vegetable Store
99,Campbelltown,Platform,Fast Food Restaurant,Movie Theater,Miscellaneous Shop,Café,Sandwich Place,Paper / Office Supplies Store,Grocery Store,Furniture / Home Store,Kebab Restaurant
100,Camperdown,Café,Convenience Store,Thai Restaurant,Restaurant,Portuguese Restaurant,Pub,Farmers Market,Dutch Restaurant,Eastern European Restaurant,Egyptian Restaurant
101,Campsie,Malay Restaurant,Korean Restaurant,Fried Chicken Joint,Japanese Restaurant,Convenience Store,Platform,Sushi Restaurant,Thai Restaurant,Vietnamese Restaurant,Department Store
102,Canada Bay,Fast Food Restaurant,Golf Course,Pharmacy,Paper / Office Supplies Store,Park,Athletics & Sports,Gym,Furniture / Home Store,Sports Club,Sports Bar
103,Canley Heights,Vietnamese Restaurant,Thai Restaurant,Dessert Shop,Café,Steakhouse,Vegetarian / Vegan Restaurant,Japanese Restaurant,Korean Restaurant,Pet Store,Gym
104,Canley Vale,Chinese Restaurant,Vietnamese Restaurant,Platform,Café,Train Station,Pizza Place,Pub,Dessert Shop,Restaurant,Bubble Tea Shop
105,Canoelands,Trail,Farm,Zoo,Dumpling Restaurant,Eastern European Restaurant,Egyptian Restaurant,Electronics Store,Event Service,Event Space,Fabric Shop
106,Canterbury,Café,Platform,Supermarket,Liquor Store,Portuguese Restaurant,Middle Eastern Restaurant,Camera Store,Bakery,Korean Restaurant,Pool
107,Caringbah,Furniture / Home Store,Electronics Store,Café,Coffee Shop,Pet Store,Gym,Photography Studio,Pharmacy,Yoga Studio,Gym / Fitness Center
108,Caringbah South,Seafood Restaurant,Bakery,Café,Dutch Restaurant,Eastern European Restaurant,Egyptian Restaurant,Electronics Store,Event Service,Event Space,Fabric Shop
109,Carlingford,Fast Food Restaurant,Chinese Restaurant,Café,Supermarket,Pizza Place,Convenience Store,Park,Tennis Court,Korean Restaurant,Sandwich Place
110,Carlton,Playground,Jazz Club,Theater,Zoo,Farmers Market,Dutch Restaurant,Eastern European Restaurant,Egyptian Restaurant,Electronics Store,Event Service
111,Carnes Hill,Supermarket,Coffee Shop,Café,Shopping Mall,Department Store,Fast Food Restaurant,Liquor Store,Fish Market,Falafel Restaurant,Eastern European Restaurant
112,Carramar,Ice Cream Shop,Park,Burger Joint,Train Station,Farm,Eastern European Restaurant,Egyptian Restaurant,Electronics Store,Event Service,Event Space
113,Cartwright,Fast Food Restaurant,Playground,Cricket Ground,Zoo,Eastern European Restaurant,Egyptian Restaurant,Electronics Store,Event Service,Event Space,Fabric Shop
114,Castle Cove,Park,Theater,Dumpling Restaurant,Dutch Restaurant,Eastern European Restaurant,Egyptian Restaurant,Electronics Store,Event Service,Event Space,Fabric Shop
115,Castle Hill,Fast Food Restaurant,Café,Department Store,Park,Italian Restaurant,Movie Theater,Shopping Mall,Chinese Restaurant,Food Court,Coffee Shop
116,Castlecrag,Harbor / Marina,Scenic Lookout,Playground,Trail,Bay,Farm,Dutch Restaurant,Eastern European Restaurant,Egyptian Restaurant,Electronics Store
117,Casula,Supermarket,Italian Restaurant,Seafood Restaurant,Fried Chicken Joint,Gas Station,Shopping Mall,Pharmacy,Gym,Department Store,Lebanese Restaurant
118,Catherine Field,Food Service,Hotel,Arcade,Fast Food Restaurant,Eastern European Restaurant,Egyptian Restaurant,Electronics Store,Event Service,Event Space,Fabric Shop
119,Cattai,Golf Course,National Park,Campground,Zoo,Farmers Market,Egyptian Restaurant,Electronics Store,Event Service,Event Space,Fabric Shop
120,Cawdor,Pizza Place,Zoo,Farmers Market,Dutch Restaurant,Eastern European Restaurant,Egyptian Restaurant,Electronics Store,Event Service,Event Space,Fabric Shop
121,Cecil Hills,Café,Shopping Mall,Locksmith,Business Service,Italian Restaurant,Fast Food Restaurant,Falafel Restaurant,Dutch Restaurant,Eastern European Restaurant,Egyptian Restaurant
122,Cecil Park,Gun Range,Convenience Store,Sports Bar,Bar,Field,Trail,Farm,Eastern European Restaurant,Egyptian Restaurant,Electronics Store
123,Centennial Park,Lake,Café,Burger Joint,Playground,Park,Music Venue,Australian Restaurant,Tourist Information Center,Restaurant,Fabric Shop
124,Chatswood,Café,Food Court,Chinese Restaurant,Coffee Shop,Thai Restaurant,Gym,Sushi Restaurant,Shopping Mall,Electronics Store,Ice Cream Shop
125,Chatswood West,Café,Park,Gourmet Shop,Japanese Restaurant,Steakhouse,Farm,Eastern European Restaurant,Egyptian Restaurant,Electronics Store,Event Service
126,Cheltenham,Café,Park,Platform,Train Station,Farm,Dutch Restaurant,Eastern European Restaurant,Egyptian Restaurant,Electronics Store,Event Service
127,Cherrybrook,Café,Grocery Store,Bakery,Restaurant,Shopping Mall,Noodle House,Japanese Restaurant,Sandwich Place,Supermarket,Fabric Shop
128,Chester Hill,Café,Fast Food Restaurant,Lebanese Restaurant,Supermarket,Dessert Shop,Falafel Restaurant,Train Station,Thai Restaurant,Pizza Place,Coffee Shop
129,Chifley,Café,Playground,Restaurant,Food & Drink Shop,Costume Shop,Cosmetics Shop,Eastern European Restaurant,Egyptian Restaurant,Electronics Store,Event Service
130,Chippendale,Café,Bar,Coffee Shop,Bakery,Art Gallery,Hotel,Wine Bar,Cocktail Bar,Ice Cream Shop,Australian Restaurant
131,Chipping Norton,Grocery Store,Supermarket,Café,Italian Restaurant,Shopping Mall,Thai Restaurant,Dutch Restaurant,Eastern European Restaurant,Egyptian Restaurant,Electronics Store
132,Chiswick,Dance Studio,Playground,Soccer Field,Harbor / Marina,Farmers Market,Eastern European Restaurant,Egyptian Restaurant,Electronics Store,Event Service,Event Space
133,Chullora,Business Service,Furniture / Home Store,Asian Restaurant,Bar,Zoo,Fast Food Restaurant,Electronics Store,Event Service,Event Space,Fabric Shop
134,Church Point,Harbor / Marina,Beach,Zoo,Fast Food Restaurant,Egyptian Restaurant,Electronics Store,Event Service,Event Space,Fabric Shop,Falafel Restaurant
135,Clarendon,Train Station,Pub,Park,Racecourse,Fried Chicken Joint,Gas Station,Zoo,Dutch Restaurant,Eastern European Restaurant,Egyptian Restaurant
136,Clareville,Garden Center,Print Shop,Australian Restaurant,Beach,Fast Food Restaurant,Egyptian Restaurant,Electronics Store,Event Service,Event Space,Fabric Shop
137,Claymore,Shopping Mall,Zoo,Farmers Market,Eastern European Restaurant,Egyptian Restaurant,Electronics Store,Event Service,Event Space,Fabric Shop,Falafel Restaurant
138,Clemton Park,Café,Greek Restaurant,Supermarket,Park,Pizza Place,Burger Joint,Shopping Plaza,Eastern European Restaurant,Egyptian Restaurant,Electronics Store
139,Clovelly,Café,Trail,Coffee Shop,Bakery,Bar,Supermarket,Massage Studio,Bus Line,Beach,Thai Restaurant
140,Clyde,Furniture / Home Store,Platform,Racetrack,Gym,Train Station,Motorcycle Shop,Convenience Store,Fishing Store,Farm,Eastern European Restaurant
141,Coasters Retreat,Boat or Ferry,Campground,Bay,Field,Electronics Store,Event Service,Event Space,Fabric Shop,Falafel Restaurant,Farm
142,Collaroy,Indian Restaurant,Coffee Shop,Australian Restaurant,Trail,Furniture / Home Store,Italian Restaurant,Pie Shop,Café,Sports Club,Fish Market
143,Collaroy Plateau,Indian Restaurant,Pizza Place,Health & Beauty Service,Park,Costume Shop,Coworking Space,Eastern European Restaurant,Egyptian Restaurant,Electronics Store,Event Service
144,Colyton,BBQ Joint,Snack Place,Fish & Chips Shop,Grocery Store,Zoo,Farm,Eastern European Restaurant,Egyptian Restaurant,Electronics Store,Event Service
145,Como,Pub,Train Station,Café,Convenience Store,Dumpling Restaurant,Eastern European Restaurant,Egyptian Restaurant,Electronics Store,Event Service,Event Space
146,Concord,Café,Italian Restaurant,Ice Cream Shop,Dry Cleaner,Supermarket,Dessert Shop,Golf Course,Fast Food Restaurant,Middle Eastern Restaurant,Seafood Restaurant
147,Condell Park,Grocery Store,Sports Bar,Pizza Place,Basketball Stadium,Kebab Restaurant,Restaurant,Farm,Eastern European Restaurant,Egyptian Restaurant,Electronics Store
148,Connells Point,Business Service,Zoo,Fast Food Restaurant,Egyptian Restaurant,Electronics Store,Event Service,Event Space,Fabric Shop,Falafel Restaurant,Farm
149,Constitution Hill,Bakery,Fast Food Restaurant,Zoo,Food Truck,Egyptian Restaurant,Electronics Store,Event Service,Event Space,Fabric Shop,Falafel Restaurant
150,Coogee,Café,Hotel,Park,Pool,French Restaurant,Beach,Bus Station,Fast Food Restaurant,Fish & Chips Shop,Bar
151,Cottage Point,Australian Restaurant,Neighborhood,Harbor / Marina,Café,Zoo,Farm,Eastern European Restaurant,Egyptian Restaurant,Electronics Store,Event Service
152,Cowan,Trail,Scenic Lookout,Train Station,Zoo,Falafel Restaurant,Dutch Restaurant,Eastern European Restaurant,Egyptian Restaurant,Electronics Store,Event Service
153,Cranebrook,Market,Lake,Bakery,Dance Studio,Zoo,Fast Food Restaurant,Electronics Store,Event Service,Event Space,Fabric Shop
154,Cremorne,Café,Pizza Place,Cocktail Bar,Japanese Restaurant,Indian Restaurant,Park,Shopping Mall,Middle Eastern Restaurant,Fast Food Restaurant,Malay Restaurant
155,Cromer,Music Venue,Beer Store,Zoo,Field,Egyptian Restaurant,Electronics Store,Event Service,Event Space,Fabric Shop,Falafel Restaurant
156,Cronulla,Café,Bar,Park,Beach,Fast Food Restaurant,Thai Restaurant,Ice Cream Shop,Tapas Restaurant,Mexican Restaurant,Australian Restaurant
157,Crows Nest,Café,Japanese Restaurant,Thai Restaurant,Vietnamese Restaurant,Bar,Indian Restaurant,Coffee Shop,Burger Joint,Mexican Restaurant,South Indian Restaurant
158,Croydon,Convenience Store,Park,Playground,Soccer Field,Zoo,Farmers Market,Eastern European Restaurant,Egyptian Restaurant,Electronics Store,Event Service
159,Curl Curl,Gym,Track,Dry Cleaner,Dutch Restaurant,Eastern European Restaurant,Egyptian Restaurant,Electronics Store,Event Service,Event Space,Fabric Shop
160,Currans Hill,Gym,Flower Shop,Pool,Thrift / Vintage Store,Grocery Store,Falafel Restaurant,Dumpling Restaurant,Dutch Restaurant,Eastern European Restaurant,Egyptian Restaurant
161,Currawong Beach,Beach,Zoo,Field,Egyptian Restaurant,Electronics Store,Event Service,Event Space,Fabric Shop,Falafel Restaurant,Farm
162,Daceyville,Park,Moving Target,Food & Drink Shop,Food,Dutch Restaurant,Eastern European Restaurant,Egyptian Restaurant,Electronics Store,Event Service,Event Space
163,Dangar Island,Café,Gastropub,Boat or Ferry,Harbor / Marina,Beach,Trail,Eastern European Restaurant,Egyptian Restaurant,Electronics Store,Event Service
164,Darlinghurst,Café,Italian Restaurant,Bar,Pizza Place,Burger Joint,Cocktail Bar,Japanese Restaurant,Gay Bar,Lounge,Theater
165,Darlington,Café,College Rec Center,Thai Restaurant,Italian Restaurant,Coffee Shop,Pub,Fishing Spot,Fishing Store,Dumpling Restaurant,Dutch Restaurant
166,Davidson,Trail,IT Services,Shop & Service,Tea Room,Café,Theme Park,Coworking Space,Creperie,Eastern European Restaurant,Egyptian Restaurant
167,Dawes Point,Café,Grocery Store,Tour Provider,Bar,Asian Restaurant,Pub,Hotel,Fishing Store,Event Space,Dutch Restaurant
168,Dee Why,Shopping Mall,Pizza Place,Supermarket,Café,Japanese Restaurant,Convenience Store,Park,Fish & Chips Shop,Fried Chicken Joint,Sushi Restaurant
169,Denham Court,Business Service,Italian Restaurant,Zoo,Fast Food Restaurant,Egyptian Restaurant,Electronics Store,Event Service,Event Space,Fabric Shop,Falafel Restaurant
